rank,modelo,score_ranking,silhouette,n_clusters,n_ruido,inercia,codo_k,hiperparametros
1,hdbscan,0.321585,0.472894,1676,15890,,,"min_cluster_size=5,min_samples=5"
2,hdbscan,0.313073,0.450805,989,15173,,,"min_cluster_size=10,min_samples=5"
3,hdbscan,0.31247,0.418543,1258,12586,,,"min_cluster_size=10,min_samples=3"
4,hdbscan,0.306202,0.438168,680,14957,,,"min_cluster_size=15,min_samples=5"
5,hdbscan,0.304965,0.41095,848,12808,,,"min_cluster_size=15,min_samples=3"
6,hdbscan,0.30121,0.476285,663,18255,,,"min_cluster_size=10,min_samples=10"
7,hdbscan,0.299706,0.472374,514,18153,,,"min_cluster_size=15,min_samples=10"
8,hdbscan,0.299576,0.431246,335,15163,,,"min_cluster_size=30,min_samples=5"
9,hdbscan,0.29192,0.39942,388,13366,,,"min_cluster_size=30,min_samples=3"
10,hdbscan,0.285514,0.459008,837,18771,,,"min_cluster_size=5,min_samples=10"
11,hdbscan,0.272522,0.393052,527,15229,,,"min_cluster_size=20,min_samples=5"
12,hdbscan,0.2655,0.359585,658,12994,,,"min_cluster_size=20,min_samples=3"
1,jerarquico,0.543868,0.543868,3,0,,,"k=3,metodo=ward"
2,jerarquico,0.514119,0.514119,4,0,,,"k=4,metodo=ward"
3,jerarquico,0.505742,0.505742,5,0,,,"k=5,metodo=ward"
4,jerarquico,0.501918,0.501918,7,0,,,"k=7,metodo=average"
5,jerarquico,0.493014,0.493014,2,0,,,"k=2,metodo=ward"
6,jerarquico,0.484755,0.484755,8,0,,,"k=8,metodo=average"
7,jerarquico,0.478038,0.478038,9,0,,,"k=9,metodo=average"
8,jerarquico,0.468174,0.468174,7,0,,,"k=7,metodo=ward"
9,jerarquico,0.454218,0.454218,10,0,,,"k=10,metodo=average"
10,jerarquico,0.448884,0.448884,2,0,,,"k=2,metodo=single"
11,jerarquico,0.448188,0.448188,10,0,,,"k=10,metodo=ward"
12,jerarquico,0.446814,0.446814,6,0,,,"k=6,metodo=ward"
13,jerarquico,0.441877,0.441877,3,0,,,"k=3,metodo=average"
14,jerarquico,0.43747,0.43747,9,0,,,"k=9,metodo=ward"
15,jerarquico,0.436437,0.436437,8,0,,,"k=8,metodo=ward"
16,jerarquico,0.410059,0.410059,3,0,,,"k=3,metodo=complete"
17,jerarquico,0.407077,0.407077,4,0,,,"k=4,metodo=complete"
18,jerarquico,0.404957,0.404957,4,0,,,"k=4,metodo=average"
19,jerarquico,0.39254,0.39254,5,0,,,"k=5,metodo=average"
20,jerarquico,0.383377,0.383377,6,0,,,"k=6,metodo=average"
21,jerarquico,0.381408,0.381408,5,0,,,"k=5,metodo=complete"
22,jerarquico,0.375456,0.375456,6,0,,,"k=6,metodo=complete"
23,jerarquico,0.363729,0.363729,7,0,,,"k=7,metodo=complete"
24,jerarquico,0.328119,0.328119,2,0,,,"k=2,metodo=average"
25,jerarquico,0.301104,0.301104,8,0,,,"k=8,metodo=complete"
26,jerarquico,0.293585,0.293585,2,0,,,"k=2,metodo=complete"
27,jerarquico,0.293259,0.293259,9,0,,,"k=9,metodo=complete"
28,jerarquico,0.289178,0.289178,3,0,,,"k=3,metodo=single"
29,jerarquico,0.288871,0.288871,4,0,,,"k=4,metodo=single"
30,jerarquico,0.273814,0.273814,10,0,,,"k=10,metodo=complete"
31,jerarquico,0.124098,0.124098,5,0,,,"k=5,metodo=single"
32,jerarquico,0.115409,0.115409,6,0,,,"k=6,metodo=single"
33,jerarquico,0.048762,0.048762,7,0,,,"k=7,metodo=single"
34,jerarquico,-0.002076,-0.002076,8,0,,,"k=8,metodo=single"
35,jerarquico,-0.068077,-0.068077,9,0,,,"k=9,metodo=single"
36,jerarquico,-0.077567,-0.077567,10,0,,,"k=10,metodo=single"
1,kmeans,1.0,0.542695,3,0,705642.125,3.0,k=3
2,kmeans,0.749664,0.514293,4,0,534784.75,3.0,k=4
3,kmeans,0.592299,0.493697,2,0,1544069.0,3.0,k=2
4,kmeans,0.50643,0.48682,5,0,451362.0625,3.0,k=5
5,kmeans,0.396662,0.476816,6,0,350249.9375,3.0,k=6
6,kmeans,0.307432,0.478226,9,0,204524.1719,3.0,k=9
7,kmeans,0.262972,0.468044,8,0,234971.7969,3.0,k=8
8,kmeans,0.216531,0.470691,10,0,178161.25,3.0,k=10
9,kmeans,0.166667,0.451077,7,0,289331.5,3.0,k=7
