rank,modelo,score_ranking,silhouette,n_clusters,n_ruido,inercia,codo_k,hiperparametros
1,hdbscan,0.428543,0.605981,584,14546,,,"min_cluster_size=15,min_samples=10"
2,hdbscan,0.428274,0.574327,687,12633,,,"min_cluster_size=15,min_samples=5"
3,hdbscan,0.427993,0.598356,461,14144,,,"min_cluster_size=20,min_samples=10"
4,hdbscan,0.427663,0.572195,529,12548,,,"min_cluster_size=20,min_samples=5"
5,hdbscan,0.424874,0.563952,387,12251,,,"min_cluster_size=30,min_samples=5"
6,hdbscan,0.417197,0.601617,714,15228,,,"min_cluster_size=10,min_samples=10"
7,hdbscan,0.407025,0.593007,813,15580,,,"min_cluster_size=5,min_samples=10"
8,hdbscan,0.395288,0.538022,922,13179,,,"min_cluster_size=10,min_samples=5"
9,hdbscan,0.378514,0.53539,1479,14556,,,"min_cluster_size=5,min_samples=5"
1,jerarquico,0.560641,0.560641,2,0,,,"k=2,metodo=average"
2,jerarquico,0.435845,0.435845,3,0,,,"k=3,metodo=average"
3,jerarquico,0.401266,0.401266,2,0,,,"k=2,metodo=single"
4,jerarquico,0.400003,0.400003,3,0,,,"k=3,metodo=ward"
5,jerarquico,0.398547,0.398547,8,0,,,"k=8,metodo=ward"
6,jerarquico,0.394764,0.394764,2,0,,,"k=2,metodo=ward"
7,jerarquico,0.386798,0.386798,7,0,,,"k=7,metodo=ward"
8,jerarquico,0.384853,0.384853,9,0,,,"k=9,metodo=ward"
9,jerarquico,0.383043,0.383043,10,0,,,"k=10,metodo=ward"
10,jerarquico,0.373885,0.373885,6,0,,,"k=6,metodo=ward"
11,jerarquico,0.362801,0.362801,5,0,,,"k=5,metodo=ward"
12,jerarquico,0.352287,0.352287,4,0,,,"k=4,metodo=ward"
13,jerarquico,0.351316,0.351316,4,0,,,"k=4,metodo=complete"
14,jerarquico,0.351279,0.351279,3,0,,,"k=3,metodo=complete"
15,jerarquico,0.348332,0.348332,2,0,,,"k=2,metodo=complete"
16,jerarquico,0.337545,0.337545,4,0,,,"k=4,metodo=average"
17,jerarquico,0.323981,0.323981,9,0,,,"k=9,metodo=average"
18,jerarquico,0.309948,0.309948,3,0,,,"k=3,metodo=single"
19,jerarquico,0.30942,0.30942,9,0,,,"k=9,metodo=complete"
20,jerarquico,0.309096,0.309096,10,0,,,"k=10,metodo=complete"
21,jerarquico,0.308571,0.308571,8,0,,,"k=8,metodo=complete"
22,jerarquico,0.293492,0.293492,5,0,,,"k=5,metodo=average"
23,jerarquico,0.28366,0.28366,6,0,,,"k=6,metodo=complete"
24,jerarquico,0.277268,0.277268,10,0,,,"k=10,metodo=average"
25,jerarquico,0.267989,0.267989,7,0,,,"k=7,metodo=complete"
26,jerarquico,0.262456,0.262456,5,0,,,"k=5,metodo=complete"
27,jerarquico,0.258845,0.258845,4,0,,,"k=4,metodo=single"
28,jerarquico,0.247117,0.247117,6,0,,,"k=6,metodo=average"
29,jerarquico,0.243968,0.243968,7,0,,,"k=7,metodo=average"
30,jerarquico,0.237353,0.237353,8,0,,,"k=8,metodo=average"
31,jerarquico,0.190059,0.190059,5,0,,,"k=5,metodo=single"
32,jerarquico,0.103849,0.103849,6,0,,,"k=6,metodo=single"
33,jerarquico,0.080566,0.080566,7,0,,,"k=7,metodo=single"
34,jerarquico,0.08014,0.08014,8,0,,,"k=8,metodo=single"
35,jerarquico,-0.026525,-0.026525,9,0,,,"k=9,metodo=single"
36,jerarquico,-0.091519,-0.091519,10,0,,,"k=10,metodo=single"
1,kmeans,0.966667,0.47723,2,0,1007093.9375,3.0,k=2
2,kmeans,0.607523,0.416229,3,0,625668.625,3.0,k=3
3,kmeans,0.590346,0.423921,5,0,347658.75,3.0,k=5
4,kmeans,0.387174,0.397524,6,0,292331.2812,3.0,k=6
5,kmeans,0.294638,0.393503,8,0,219747.0312,3.0,k=8
6,kmeans,0.288683,0.387396,7,0,258023.8438,3.0,k=7
7,kmeans,0.266667,0.368432,4,0,489127.8438,3.0,k=4
8,kmeans,0.257648,0.392935,9,0,201016.0938,3.0,k=9
9,kmeans,0.169615,0.384433,10,0,182381.5,3.0,k=10
