ngram,total_frequency,relative_frequency
playa,26712,0.020253
lugar,13947,0.010575
agua,12564,0.009526
experiencia,8406,0.006374
gente,7681,0.005824
comida,7444,0.005644
tiempo,6952,0.005271
guia,6748,0.005116
increible,6623,0.005022
caminar,5975,0.00453
excelente,5963,0.004521
viaje,5789,0.004389
recorrido,5491,0.004163
restaurantes,5330,0.004041
snorkel,5305,0.004022
fotos,5139,0.003896
tomar,5056,0.003834
nadar,4992,0.003785
parque,4866,0.003689
area,4773,0.003619
hermosa,4746,0.003598
realmente,4721,0.00358
camino,4417,0.003349
malecon,4386,0.003326
pena,4327,0.003281
ninos,4309,0.003267
agradable,4239,0.003214
paseo,4227,0.003205
hotel,4208,0.003191
hermoso,4129,0.003131
vale,3855,0.002923
rio,3688,0.002796
tiendas,3520,0.002669
puerto,3409,0.002585
arena,3389,0.00257
disfrutar,3375,0.002559
bahia,3253,0.002466
personal,3245,0.00246
pesos,3218,0.00244
vista,3145,0.002385
visitar,3113,0.00236
sol,3097,0.002348
entrada,3025,0.002294
vallarta,2978,0.002258
delfines,2968,0.00225
obtener,2954,0.00224
genial,2929,0.002221
visita,2906,0.002203
servicio,2901,0.0022
restaurante,2876,0.002181
tortugas,2843,0.002156
comprar,2834,0.002149
cueva,2820,0.002138
vida,2815,0.002134
lugares,2771,0.002101
mexico,2751,0.002086
seguro,2740,0.002078
pequeno,2730,0.00207
cuevas,2721,0.002063
noche,2717,0.00206
tour,2717,0.00206
familia,2697,0.002045
playas,2645,0.002005
equipo,2639,0.002001
hora,2638,0.002
cosas,2618,0.001985
grupo,2612,0.00198
minutos,2578,0.001955
cenote,2533,0.001921
precio,2473,0.001875
ciudad,2472,0.001874
taxi,2437,0.001848
definitivamente,2423,0.001837
cerca,2419,0.001834
vendedores,2416,0.001832
personas,2363,0.001792
oceano,2351,0.001783
almuerzo,2323,0.001761
isla,2320,0.001759
divertido,2312,0.001753
animales,2294,0.001739
paz,2292,0.001738
zona,2285,0.001733
recomiendo,2267,0.001719
horas,2240,0.001698
mar,2237,0.001696
pasar,2172,0.001647
tomo,2132,0.001617
llegar,2088,0.001583
tema,2086,0.001582
turistico,2043,0.001549
ruinas,2013,0.001526
super,2009,0.001523
amable,1965,0.00149
anos,1963,0.001488
regreso,1955,0.001482
bebidas,1942,0.001472
bonito,1925,0.00146
foto,1920,0.001456
comer,1918,0.001454
persona,1901,0.001441
peces,1892,0.001435
traer,1890,0.001433
tranquilo,1885,0.001429
quiero,1854,0.001406
vistas,1841,0.001396
dinero,1841,0.001396
barco,1835,0.001391
espectaculo,1816,0.001377
general,1798,0.001363
pequena,1796,0.001362
tulum,1779,0.001349
encontrar,1769,0.001341
sitio,1757,0.001332
pagar,1756,0.001331
mejores,1730,0.001312
vacaciones,1720,0.001304
local,1702,0.00129
limpio,1694,0.001284
olas,1651,0.001252
semana,1627,0.001234
atardecer,1616,0.001225
gracias,1581,0.001199
historia,1578,0.001196
frente,1570,0.00119
