Topic,Count,Name,Representation,Representative_Docs
-1,18773,-1_playa_comida_lugar_malecon,"['playa', 'comida', 'lugar', 'malecon', 'agua', 'gente', 'caminar', 'pesos', 'vallarta', 'paseo']","['reservar viaje excelente tarifa tours puerto vallarta proveedor excelente experiencia tirolesa familia esposa ninos desafortunadamente favorito conducir conducir zona hotelera hora eden tiempo iniciado elegir ruta horas vallarta viaje tipico camion aire libre personas paradas vallarta zona hotelera vallarta cerca parada camino casco antiguo pasa alla ruta principal tierra entrada zoologico caminos tierra viejos caminos llenos baches eden minutos duracion comenzar experiencia tirolesa lineas tirolesa tipicas repeticion realmente guias realmente disfrute ofrecidos viaje super hombre reves tirolesa basica tamano grupo autobus dividirnos grupos cosa lineas jovenes larga linea alta guia colocaria cosa recordar tirolesa necesita frenar lineas largas requieren tirolesa experiencia divertida guias caso lugares tirolesa honestamente viaje fotografos comida cosas promedio foto pro casco tomas divertidas grupo tomaron fotos individuales familia preguntar costo iniciado dolares fotos pro videos caido rapido persona grupo precio joven atractivo chicas negocio agregar amable agradable marido fotografo rechazado ofrecido trato derecho frente soplado lejos pregunto llegar familia fotos negocio obtener tarifa fotos valen pena profesional trato tipo ofrece alguien frente derecha negocio espero hora tirolesa regreso casa dividir comida incluir propina factura seguro atras izquierda regrese tipico experiencia tirolesa tirolesa mirar experiencias libro recuerda recibir pago divertido', 'encanto tulum zona arqueologica explicar beber puerta izquierda querer vender tours persona eleccion personal entrada costos pesos pulsera acceso playas publicas quedarse playas hermosas lineas cortas rapido entrar ruinas pagar pesos entrada pensar linea tiempo local media hora entrar ruinas manejado evitar cola pagar guia turistico pesos pesos entrada incluido cobran pesos persona tulum visitar ruinas hermoso camino regreso tomar autobus local toma centro tulum playa carmen mitad costo', 'resenas compradas tour recorridos puerto vallarta recorrido obtenido precio costo oferta obtener gratis pagar minutos tarjeta credito recibida correo electronico divertido ven correo electronico ven nombre correo electronico instrucciones boleto dosel boleto dosel seguir recuerda recorrido viajar probablemente encontrar oficina senales mencionar tour dosel parar viaje oficina dificil encontrar marido penso seguro basicamente buscando cruces negocios parada autobus tienda hotel paradas autobus selecciones ciudad lugarenos serviciales lugarenos serviciales finalmente encontrar parada camino regreso conductor dejarnos barco consiguio autobus cerrar reservar hora encuentro crucero pensar autobus preparado elegir probablemente cerrar hora atras abierto camion cubierto traer botella agua tours puerto vallarta instrucciones ok traer camaras eden revisar articulos casillero resena eden encontrado eden canopy tour casa pelicula espero traje dinero quiero fotos necesito dinero recuerde dicha camara camaras cabeza gustaria comida espero traje dinero foto lugar toma efectivo restaurante cree tomar credito trajo suficientes pesos pequena cantidad compras pagar taxi regreso cantidad loca espero cabello trajo cabello cabello proporcionar prepararse casco paseo mano tirolesa inicio camino caminata mencionar esperanza recorrido decente mejores rocas colinas empinadas proporcionar paradas agua encontrar caminata colina aliento colgar montar grupo instrucciones mano detener prestar atencion escuchar guias terminar herido linea larga chico molestar romper guia siguio dando descanso romper romper vio pobre chico cuerda guia herido tomo consiguio descanso decirle alguien lastimado chico pies chicos chicos pequenos presten atencion escuchan duro descanso descanso sintieron miedo lineas chicos experiencia divertido amable senti atras chicos alentando diria preparado consejos esperanza dinero natacion traer traje pensar quiero comida ordenar toma caro mayoria ofrece comida hora inicio sabia parar puesto tequila encontro recorrido barco hablo conductor pregunto dejarnos barco termino necesitamos tomar taxi atras esperando conductor minutos persona tiempo atras autobus recorrido carretera aspero preparado afuera area vigilancia mirando realmente corriendo tomar agua tequila parar parar minutos reunio gente agradable viaje adivinar eleccion autobus iria aventuras gustaria preparado proxima comprar foto tomar fotografias lineas gente suficientemente pequeno']"
0,2074,0_snorkel_snorkeling_equipo_peces,"['snorkel', 'snorkeling', 'equipo', 'peces', 'cenote', 'coral', 'entrega', 'cenotes', 'ojos', 'arrecife']","['playa entrega alto turista larga playa arena areas agradables snorkel nadar jugar arena restaurantes banos snorkel facil peces fondo rocoso viejo coral vivir snorkel nadar area botes cuerdas seguro traer alquiler equipo disponible facil barato viaje taxi', 'playa entrega alto turista larga playa arena areas agradables snorkel nadar jugar arena restaurantes banos snorkel facil peces fondo rocoso viejo coral vivir snorkel nadar area botes cuerdas seguro traer alquiler equipo disponible facil barato viaje taxi', 'playa entrega excelente playa snorkel gente local popular llegar alquiler equipo snorkel alquilar casilleros playa vale pena viajar taxi']"
1,1721,1_olas_arena_limpia_playa,"['olas', 'arena', 'limpia', 'playa', 'playas', 'bonita', 'hermosa', 'surf', 'tranquila', 'suave']","['millas hermosa playa bonita arena facil nadar hermosa', 'playa tranquila limpia bonita', 'playa limpia olas lugar']"
2,1650,2_leones_ballenas_isla_espiritu,"['leones', 'ballenas', 'isla', 'espiritu', 'ballena', 'santo', 'delfines', 'barco', 'tiburones', 'colonia']","['lugar memorable isla espiritu santo isla absolutamente hermosa playa impresionante agua clara consegui snorkel leones botes pequenos saliendo isla espiritu santo cerca paz viaje quedarse definitivamente vale pena', 'maravilloso recorrido isla espiritu santo leones nadando peces colores viaje increible hermosa isla', 'maravilloso recorrido isla espiritu santo leones nadando peces colores viaje increible hermosa isla']"
3,1421,3_animales_zoologico_cocodrilos_monos,"['animales', 'zoologico', 'cocodrilos', 'monos', 'cocodrilo', 'serpientes', 'alimentar', 'ciervos', 'santuario', 'loros']","['decidi zoologico vi camino costo dolares taxi hotel decidio revisar encontrar lugar vacaciones vale pena zoologico pequeno decepcionado esperando monton animales recorrido toma hora media sentirse apurado guia visita completa comprar comida animales realmente vale pena par dolares serpientes monos ciervos cocodrilos capaz interactuar lugar limpio lugar sentido animales cuidados visto animales tomado zoologico animales guia turistico conocimiento vale pena visitar', 'amado zoologico ninos capaces tocar manejar animales cocodrilos bebes cocodrilos serpientes ciervos monos arana animales area nativa visto excelente visita guiada tomo horas guia hablo ingles comprar comida alimentar animales pesos tour precio razonable loro cabeza ninos pasan minutos diciendo vuelta divertido definitivamente toma repelente insectos deja disfrutar animales', 'familia visito viaje zoologico crococun playa carmen tomo taxi zoologico pago tarifa entrada puerta incluyendo bolsas comida animales tomado visita guiada privada pequeno zoologico vio pajaros loros tipos hablaron hablaron llevaron recorrido vio hermosos monos arboles capaz alimentar monos guia comida ayudo arboles monos agarrar comer suerte bebe mono arana lindo vio cocodrilos recorrido caminar area cocodrilos hija serpientes retenidas vio lagartos tortugas capaz alimentar mano ciervos local capaz sostener cocodrilo agradable hora recorrido tamano perfecto familias ninos pequenos fantasticos grupos pequenos permite animales traer repelente insectos roca']"
4,1321,4_cuevas_cueva_secreto_fotos,"['cuevas', 'cueva', 'secreto', 'fotos', 'rio', 'guia', 'neopreno', 'recorrido', 'fotografo', 'zapatos']","['rio secreto increible aventura rio secreto excursion tierra destacado increible crucero mundo cuevas cuevas azules sur viene mente inmediatamente alla experiencias rio secreto visita guiada tierra agua cristalina cavernas oscuras impresionantes estalactitas estalagmitas recorrido subterraneo comienza antiguo exitoso viaje seguro traje neopreno opcional zapatos agua chalecos salvavidas casco luz comenzar descenso mundo verdaderamente oscuro explorador cuevas guia encontrar camino terreno rocoso agua tobillos fila unica tratando mantener manos paredes formaciones naturales puntos guia paradas mostrar explicar maravillas naturaleza nadar flotar experiencia completa acompanando fotografo camara subterranea recorrido toma minutos sensacion definitivamente recomendaria problemas respiratorios capaz condiciones oscuras humedas caminar superficies irregulares problema chalecos salvavidas guia experto experimentado inmensamente util casilleros dejar cosas sitio excelente eleccion fotos aventuras salir verdaderamente experiencia recomendaria encarecidamente querer derrotado', 'rio secreto definitivamente camino trillado vale pena finalmente quedarse playa carmen hora requerida tiempo elegido transporte compartido camioneta tomada entrada transferida camioneta llevo camino jungla divertido correcto guia excelente comenzo rapido supusieron proporcionaron casilleros guardar cosas usando traje bano dando traje neopreno chaleco salvavidas casco linterna rio subterraneo agua tibia traer zapatos agua contrario par agarrar baston cabeza camino baston practicamente requerido tocar paredes cueva aceites mano piedra caliza tomar advertencias condiciones salud caminar serio nadar agua sistema cuevas rio selva media partes requieren doblarse caminar rocas agua sobrepeso problema corazon problemas espalda problemas rodilla problemas cadera problemas respiratorios claustrofobia miedo oscuro visto pelicula descenso probablemente significaba gente alejaba intentando traer gente necesita consciente realidad descender sistema cuevas real espectaculo finalmente comienza verdaderamente impresionante vista desafortunadamente camaras telefonos prohibido fotografo tomar fotos camino venta evitar trampa excursiones preste atencion caminar rocas paso agua estalagtitas agua definitivamente calida fria esperada quiera traje neopreno realmente seccion tocar fondo tipo flotar partes pies profundidad fotografo traer trabajo mantener juntos tiempo hora cueva sistemas cuevas quiero recorrido seguro cueva aparentemente descubierta loco pensar proceso preparandose llegar cuevas seguido buffet comprar fotos quiero volver transporte definitivamente recomiendo razon estrellas resenas similares siente caro real rio subterraneo cueva tiempo tomar fotos siente apresurado general grupos vienen constantemente yendo espectacular sitio unico mundo', 'encanto rio secreto caminar nadar cueva increible guia excelente hablaba ingles guio cueva formaciones rocosas vio cueva descubierta anos parque nacional cueva abierta guia publica rutas ruta depende condiciones cuevas cambios nivel agua basado cantidad area lluvia experiencia verdaderamente espectacular proporcionar traje neopreno chaleco salvavidas zapatos agua luz casco seguro casco luz funciona marido dificil luces cueva luces cueva traer salida cueva oportunidad comprar fotos tomadas familia fotos cueva hermosa compra fotos cd cuidado obtener fotos esperar elegir cd cambiar equipo ofrecido almuerzo ligero desafortunadamente almuerzo terrible definitivamente sugeriria comer comida extremadamente pobre genial experiencia']"
5,1175,5_iglesia_catedral_misa_iglesias,"['iglesia', 'catedral', 'misa', 'iglesias', 'arquitectura', 'hermosa', 'corona', 'antigua', 'interior', 'plaza']","['hermosa vista iglesia hermosa vista iglesia malecon manana noche', 'iglesia bonita iglesia visitar centro ciudad disfrutar', 'iglesia']"
6,1170,6_sillas_restaurantes_playa_restaurante,"['sillas', 'restaurantes', 'playa', 'restaurante', 'comida', 'sombrillas', 'bebidas', 'sombrilla', 'mesas', 'tranquila']","['playa hermosa olas hermosas sillas alquiler restaurantes comida gente amable', 'encanta jugar muertos vendedores ofrecen palapas sillas beber servicio comida sillas azules sillas verdes favorito', 'playa muertos lotes playa palapas sombrillas sillas playa restaurantes comida playa bebidas recomendar sentarse frente playa conocido sillas verdes servicio obra musica']"
7,1111,7_tortugas_akumal_tortuga_snorkel,"['tortugas', 'akumal', 'tortuga', 'snorkel', 'salvavidas', 'buceo', 'arrecife', 'peces', 'chaleco', 'pagar']","['imagina llegar pequena bahia palmeras arena blanca agua azul clara esperando disfrutar lugar relajarse pasar pasto mirar tortugas escuchadas venir comer colocar akumal cientos vendedores encuentran camino playa lugar cambios orden proteger tortugas detener companias ganando dinero tortugas agradable negocios leer playa publica permitido snorkel llegar pagar pesos persona playa reunirse vista consciente cosas realidad proteger tortugas venir bahia lleno olor probablemente mejores condiciones tortugas senales playa contar proposito asegurar pagar dinero oportunidad tortugas pesos persona camino estrecho hierba tortugas nadar chaleco salvavidas grupo naranja espero tortuga quiero pagar dinero permitido ingresar agua areas pequenas limitadas cesped oportunidad tortugas experiencia realmente autentica espero tortugas corten playa nadar gratis probablemente posibilidades tortuga absolutamente tortuga apoyando evitar ofrecer constantemente tours tortugas gustaria tomar nota foto zona verde area natacion publica tomar pesos visita guiada', 'akumal viaje reciente ciudad visita playa tranquila hermosa agua calma arrecife perder tiempo dinero tour nadar tortugas cabeza equipo snorkel bahia akumal practicamente garantizado tortugas bahia akumal seguro crece hierba tortuga tortugas pasto bahia piso mantener contacto corporal hierba coral vio tortugas bucear hora bahia akumal compra segura camara subacuatica criaturas increibles lugar favorito bucear lugar nadar tortugas ambiente natural laguna increible pez tropical tortugas vistas', 'investigacion snorkel bahia akumal viaje previo imagina necesita gobierno puso bahia akumal proteger tortugas habitat increible bahia finalizo tours bahia tortugas areas cuerdas snorkel aletas obteniendo areas intentando tour caro decirle agua guardias marinos parando nadar afuera cuerdas viajar akumal snorkel libremente tortugas ano reservar tours tomo colectivo playa akumal pesos compro casillero tienda buceo akumal centro buceo tienda buceo excelente literalmente camino recto playa ligeramente pies derecho tienda buceo equipo agarrado cabeza detuvo cuerdas vio tortuga minutos vi mantarrayas mantarrayas flotando colgando fondo increible agua cristalina arena blanca aguas profundas tortugas amigables sentarse fondo comer pasto consejo nadar alla probablemente pies profundidad vio tortugas video increible comparado tortugas verdes tortugas nadar lejos colgar comer pasto visitar playa akumal recorrido caro necesita snorkel tortugas corto mayo restricciones puestas temporada turistica definitivamente arrecife coral muerto definitivamente triste gente respetar oceano playa restricciones diciendonos alguien secretos area turistica']"
8,1030,8_delfines_toboganes_acuatico_parque,"['delfines', 'toboganes', 'acuatico', 'parque', 'nado', 'encuentro', 'entrenador', 'fotos', 'entrenadores', 'ninos']","['hotel ninos vieron toboganes agua atencion tomo taxi lugar paseo hotel consiguio parque ve anticuado afuera conocio agradable amable conocedor genial agradable definitivamente nadar delfines delfines linea fondo extra familia experiencia encuentro delfines pago obtener parque acuatico experiencia extra delfines vuelve loco idea capaz tocar delfin sabia tomar fotografias anos edad delfin ve capaz piscina limpiar mirada delfines entrenadores disfrutar trabajo fotografos paquete fotos incluye fotos impresas encuentro delfines agradables fotos amigables perfecto parque acuatico necesita trabajo piscina ninos sucia hojas limpieza agua resort acuatico lento parque comida caro calidad caro vale pena viaje parque acuatico cosa delfines vale pena adulto visitar parque acuatico cantidad pagada entrada familiar parque acuatico experiencia delfines almuerzo gratis trato mirar camino perder tiempo punto casillero caminar regreso punto casilleros punto cambio abrir casillero obtener alquiler chaleco salvavidas encontrar proceso proceso encantador', 'parque nado delfines reales momento reservado excursion crucero necesita tomar taxi parque acuatico ahorrar dinero comparacion reserva compania cruceros consiguio parque obtener casillero cargar areas deposito prepararse area nado delfines reales nado delfines vender fotos tiempo costoso costoso parque similar anos cobrar persona fotos tomar gente familia huellas tomarnos fotos precio recordar precio fotos alta calidad nadar gente familia hija familia pareja persona parque hablaba tuvieramos oportunidad delfines delfines veian felices leer delfines principal nado real delfines lugar actividad flotar delfines empujan pies gente increible viene agua almuerzo incluido paquete delfines reales comida excelente parque acuatico eleccion hamburguesa pizza caliente parque nado delfines horas rio lento toboganes agua tobogan inodoro cerrado abierto parque parque acuatico limpio toboganes seguros obtener tubo interior verifique carga toboganes tubos toboganes altos realmente atrapan personas parque acuatico areas nadar toboganes tirolesas metal esposa hija disfruto tirolesa yendo tirolinas incluido paquete momento lleno', 'ninos realmente querian nadar delfines pasaron horas conocian delfines recorrido barco delfines obtener delfines ninos pequenos pensaron posibilidad nadar delfines buscando parque aventuras buscando experiencia descubrimiento delfines expectativas fantasticas sentidos comprado grupo nado real juntos personas adicionales entrenador delfines fantastico divertido informativo atento delfines experiencia extremadamente divertida cosas deseamos restaurante increible realmente genial obtener lugar descanso lugar lleno gente familias recomendarian altamente nado delfines casilleros parque vienen gratis nadar delfines area nado delfines area espera grupos casilleros gratis casilleros frente parque camino pie experiencia delfines mantener cosas esperar casilleros justo obtener chaleco salvavidas foto telefono lugar pagar precios locos probar colocar telefono delfines realmente vale pena dejar casillero telefono disfrutar momento escaparse tomando fotos experiencia delfines intentar obtener foto familia nado delfines opcion ven preparado quiero fotos vida fotografos fuertes trabajo fantastico fotos increibles delfines realmente maravillosas pagar precio ganga dejar quiero precio trato obtener fotos grupo costaria fotos gustaron realmente descargar telefono correcto sugeriria asegurarse telefono salir tomar tiempo salir delfin espectaculo leones tiempo disfrutar ninos disfrutar soporte tardio animales vivos animales permitidos tomar fotos traer nadar delfines tipo parque acuatico tomar piscinas ninos pequenos necesitan adulto tobogan agua anos pequeno edad alta anos suficientemente absolutamente fantastico curso cuerdas acostumbrarse comprar nado delfines ninos experimentaron curso cuerdas sugeriria traer zapatos agua ninos disfrutarian curso cuerdas dificil ano edad capaz curso completo obtener cima viene obtener tobogan diversion anos curso nivel nina lejos anos obtuvo pequenos curso corto cosa dificil guia super decepcionado anos viejo pequeno corto obtener agua nadar delfines tipo nina totalmente nervioso flotando piscina media esperando delfines agua diversion totalmente seguro olvides ninos disfrutaron anos nervioso quiero besar realmente interactuar encontrado tomo senti foto leer criticas chaquetas chaleco salvavidas oportunidad chaleco salvavidas increible barco nadando delfines encontrar chaquetas viejo encontrado almuerzo proporcionar nado delfines ninos disfrutaron comida pagar ordenar marido anos anos anos anos anos anos actividad excursion pasar bastantes horas nado delfines parque acuatico curso cuerdas disfrutar comida proceso fotos llamado taxi parque hotel hotel senti tiempo atras decidi tomar autobus caminar facilmente autopista llegar inferior autobus derecha abajo quiero area autobus yendo encontrado autobus facil simplemente diria actividad vale pena descubrimiento delfines experiencia realmente fantastica grupo edades']"
