cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
3,1,lugar,0.167242,1.405465,7,11
3,2,cosa,0.120143,2.098612,3,11
3,3,peligroso,0.114234,2.386294,2,11
3,4,cambiar,0.102929,2.386294,2,11
3,5,lindo,0.102929,2.386294,2,11
3,6,gastronomia,0.087645,2.386294,2,11
3,7,atractivo,0.081457,2.386294,2,11
3,8,ciudad,0.075331,2.386294,2,11
3,9,bonito,0.069105,2.791759,1,11
3,10,visitar,0.068027,2.386294,2,11
3,11,salamanca,0.066148,2.098612,3,11
3,12,adaptar,0.06454,2.791759,1,11
3,13,inseguridad,0.060397,2.386294,2,11
3,14,actividad,0.045686,2.386294,2,11
3,15,especial,0.045686,2.386294,2,11
