cluster,indice_global,sim_coseno_tfidf,sim_coseno_reducido,top_en_tfidf,top_en_reducido,coincide_en_ambos,comentario_cleaned,comentario,genero,lugar,edad
0,5,0.149094,1.0,False,True,False,ciudad oportunidad laboral estudiantil decente calidad vida zona insegura recreacion contaminacion persona,"es una ciudad con oportunidades laborales y estudiantiles decentes y se puede tener una calidad de vida buena, aun asi cuenta con zonas muy inseguras, poca recreacion y mucha contaminacion, aunque con grandes personas.",hombre,salvatierra,19
0,1,0.149094,1.0,False,True,False,lugar pequeno atraccion llamativo,"lugar pequeno, sin muchas atracciones, nada llamativo",mujer,irapuato,21
0,92,0.149094,1.0,False,True,False,gobierno implementar cultura lugar atractivo inseguridad venir fuerte cerrar lugar malo gestion,el gobierno podria implementar una mayor cultura de lugares atractivos pero la inseguridad viene cada dia mas fuerte y cierran mas lugares debido a su mala gestion,mujer,salamanca,22
0,57,0.180768,0.998638,True,False,False,general ciudad destacar atractivo turistico motivir gente querer visitar ciudad visualmente bonito mayoria olor agradable,"en general me parece una ciudad que nos destaca por tener atractivo turistico o algo que motive a la gente a querer visitar la ciudad, no es visualmente muy bonita en su mayoria y si tiene un olor no muy agradable",hombre,dolores hidalgo,22
0,90,0.187171,0.998467,True,False,False,,.,hombre,salamanca,20
0,36,0.187171,0.998461,True,False,False,pesimo sistema transporte horario vespertino semana sucio calle gobierno hablar cultura valorar paisaje natural increibl privatizado ecoparque agradable seco estanque variedad gastronomia precio turistico potencial lastimo gobierno interesar,"pesimo sistema de transporte en horarios vespertinos o de fin de semana, muy sucias sus calles, su gobierno ni hablar, sin embargo, tiene mucha cultura solo q no es valorada como es debido y vaya q si tiene paisajes naturales increibles, aunque privatizados y el ecoparque tambien es agradable, aunque seco el estanque ;( y la variedad de gastronomia como sus precios son muy buenos. en la parte turistica tiene mucho potencial lastima q al gobierno no le interesa.",mujer,guanajuato,27
1,69,0.550025,1.0,False,True,False,salamanca lugar lugar accesibl precio lugar poder conocer inseguridad gobierno ayudar persona calir poder caracterizar lugar resiliente,"salamanca es un muy buen lugar, tiene muchos lugares accesibles precios bastante buenos, lugares que puedes ir conociendo poco a poco y aunque la inseguridad y tambien el propio gobierno a veces no ayuda, el poder estar con muchas personas y que muchas sean calidas y te puedas llevar bien es lo que lo caracteriza de todo, es un lugar muy resiliente la verdad",hombre,orizaba,20
1,15,0.550025,0.999997,True,True,True,llevar tiempo vivir general evito salir inseguridad,"llevo poco tiempo viviendo aqui, por lo general evito salir por la inseguridad.",mujer,michoacan,18
1,78,0.542535,0.999996,False,True,False,lugar inseguro,es un lugar un poco inseguro,mujer,salamanca,20
1,30,0.561339,0.999992,True,False,False,gobierno implementar cultura lugar atractivo inseguridad venir fuerte cerrar lugar malo gestion,el gobierno podria implementar una mayor cultura de lugares atractivos pero la inseguridad viene cada dia mas fuerte y cierran mas lugares debido a su mala gestion,mujer,salamanca,22
