cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
2,1,visitar centro,0.136083,1.693147,1,4
2,2,encuesta visitar,0.136083,1.693147,1,4
2,3,preguntar encuesta,0.136083,1.693147,1,4
2,4,aspecto preguntar,0.136083,1.693147,1,4
2,5,mayoria aspecto,0.136083,1.693147,1,4
2,6,desconocer mayoria,0.136083,1.693147,1,4
2,7,calid gente,0.125988,1.693147,1,4
2,8,principal calid,0.125988,1.693147,1,4
2,9,jardin principal,0.125988,1.693147,1,4
2,10,gustar jardin,0.125988,1.693147,1,4
2,11,universidad gustar,0.125988,1.693147,1,4
2,12,naci visito,0.125988,1.693147,1,4
2,13,visito universidad,0.125988,1.693147,1,4
2,14,inseguridad suciedad,0.100504,1.693147,1,4
2,15,tanto inseguridad,0.100504,1.693147,1,4
