cluster,rank,palabra,score_centroide,idf_local,df_en_cluster,n_docs_cluster
3,1,lugar,0.230483,1.559616,3,7
3,2,vivir,0.163539,1.847298,2,7
3,3,general,0.117484,1.847298,2,7
3,4,cosa,0.090447,1.847298,2,7
3,5,ofrecer,0.089352,2.252763,1,7
3,6,promedio,0.089352,2.252763,1,7
3,7,turisticamente,0.089352,2.252763,1,7
3,8,escuchar,0.088265,2.252763,1,7
3,9,seguridad,0.077104,2.252763,1,7
3,10,municipio,0.077104,2.252763,1,7
3,11,contaminacion,0.077104,2.252763,1,7
3,12,delincuencia,0.077104,2.252763,1,7
3,13,ayudar,0.066167,2.252763,1,7
3,14,empezar,0.066167,2.252763,1,7
3,15,faltar,0.066167,2.252763,1,7
