marca temporal,edad,genero,accesibilidad y transporte publico en la ciudad.,limpieza y mantenimiento de las calles y espacios publicos en general,nivel de seguridad general en el municipio,calidad de la oferta gastronomica,conservacion y belleza del patrimonio arquitectonico e historico,"infraestructura de servicios (hoteles, plazas, comercios)",cantidad y calidad de areas naturales y parques,"oferta de actividades de entretenimiento, arte y cultura",salamanca es una ciudad receptiva...,salamanca es agradable para pasar el tiempo,salamanca es interesante para explorar,el ambiente es tranquilo y relajante,los habitantes son amables y hospitalarios,la identidad industrial aporta valor positivo,potencial para turismo cultural,me gustaria visitar o seguir disfrutando de salamanca,recomendaria ampliamente que visiten salamanca,mi percepcion global sobre salamanca es muy positiva,"en tus propias palabras, que opinas de salamanca y que palabra, frase o recuerdo usarias para describirla principalmente?",ciudad de origen,ciudad de origen.1,columna 23
2/03/2026 18:32:20,21,femenino,3,2,1,3,3,2,1,1,3,2,1,1,2,3,1,2,1,1,salamanca es una ciudad para vivir solo si es necesario quedarse aqui.,silao,,
2/03/2026 18:35:11,20,femenino,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,"le faltan mayores atractivos turisticos, la ciudad se ve muy gris en general y no es del todo segura",silao,,
2/03/2026 18:45:43,21,femenino,3,2,2,4,3,3,3,3,3,4,4,3,5,4,3,4,4,4,muy calido,silao,,
2/03/2026 18:55:10,20,masculino,2,2,1,2,3,2,3,2,3,2,2,3,3,2,1,1,1,1,contaminacion,silao,,
2/03/2026 18:57:24,19,femenino,3,3,2,3,3,3,3,4,3,2,2,3,4,3,3,4,3,3,aventurero,salvatierra,,
2/03/2026 19:06:45,22,masculino,4,2,2,4,2,2,1,1,2,2,2,2,3,5,1,3,2,3,ciudad industrial,otro,,
2/03/2026 19:20:00,21,femenino,3,3,2,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,"no es una ciudad que la gente elija principalmente para visitar, pero es un lugar que funciona para quienes viven ahi. tiene lo necesario para el dia a dia y aunque enfrenta varios retos, tambien tiene potencial para mejorar y crecer",guanajuato,,
2/03/2026 19:20:20,22,femenino,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,interesante,guanajuato,,
2/03/2026 19:20:30,20,femenino,3,3,2,4,3,3,3,4,1,3,1,1,3,4,1,2,1,2,"fortaleza cotidiana, por que refleja la mezcla de esfuerzo, comunidad y tradicion que se vive dia a dia en la ciudad",guanajuato,,
2/03/2026 19:27:34,19,femenino,3,5,3,5,5,5,5,3,5,2,2,5,5,3,3,3,3,3,bonito pueblo pero sin muchas cosas que hacer,guanajuato,,
2/03/2026 19:28:33,19,masculino,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,que le falta atracciones. abandono,guanajuato,,
2/03/2026 19:28:37,19,masculino,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,"es una ciudad fea, pero debe tener lo suyo",silao,,
2/03/2026 19:30:07,20,femenino,3,3,2,2,4,3,2,1,3,3,1,2,5,5,1,1,1,2,"es una ciudad tranquila, sin embargo, esa tranquilidad hace que la ciudad sea algo aburrida. la inseguridad tambien es un factor detonante para pensar en no visitar esta ciudad. lo mejor que resaltaria de salamanca es a su gente calida y amable.",otro,,
2/03/2026 19:30:08,20,femenino,2,4,5,3,3,2,3,3,2,3,3,3,3,4,3,3,2,3,ir por lugares con mucha gente para pasarla bien,leon,,
2/03/2026 19:30:34,19,masculino,3,2,1,3,3,3,2,2,3,2,2,2,4,2,2,1,1,2,"es una ciudad que aunque cuenta con una comunidad sumamente calida, deja mucho que desear en cuanto a infraestructura, seguridad y turismo",guanajuato,,
2/03/2026 19:32:38,21,masculino,3,4,1,4,3,2,2,2,2,1,1,1,3,1,1,1,1,1,salamanca esa ciudad con un bajo indice de seguridad y de apoyo por parte de las autoridades politicas de seguridad,salamanca,,
2/03/2026 19:34:45,26,masculino,3,2,1,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,"es mordor, es una ciudad la cual es complicada",guanajuato,,
2/03/2026 19:39:23,18,femenino,3,4,4,4,5,3,3,4,3,2,1,2,2,3,1,2,1,2,algo agradable,guanajuato,,
2/03/2026 19:43:37,24,femenino,3,3,1,4,3,4,2,1,4,3,3,2,3,4,2,2,3,2,"salamanca, anteriormente se llamaba xidoo, que significa “lugar sobre tepetates”, hoy en dia, salamanca es considerada ciudad industrial, por la refineria, entre otras empresas que representan el significado de la ciudad.",guanajuato,,
2/03/2026 19:46:26,18,masculino,3,2,2,4,4,3,3,2,3,2,4,3,3,2,2,5,5,3,"salamanca esta mas o menos para vivir en mi opinion, porque no me gusta del todo la calidad del aire ya que la refineria la degrada. “salamayork”",silao,,
2/03/2026 19:46:38,20,masculino,3,3,4,4,4,3,4,3,3,3,3,4,3,4,4,3,3,3,es un lugar muy tranquilo pero no tan repetitivo,penjamo,,
2/03/2026 19:48:02,22,femenino,3,3,1,3,4,3,3,3,3,2,2,2,4,4,2,1,1,2,"me imagino que tiene cosas padres y su gente es trabajadora, pero tambien se dice que es una ciudad muy insegura y puede que hasta contaminada",guanajuato,,
2/03/2026 19:51:46,20,masculino,3,2,2,3,2,2,2,2,2,1,1,1,3,3,2,2,2,1,nada,guanajuato,,
2/03/2026 19:51:52,21,masculino,1,1,3,4,2,4,3,3,3,2,3,1,2,3,3,4,4,4,me gustaria conocer la ciudad y pues e escuchado que es una zona no tan segura,guanajuato,,
2/03/2026 19:54:23,19,femenino,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,4,esta linda pero no es totalmente de mi agrado,silao,,
2/03/2026 19:54:43,19,femenino,3,5,3,3,3,3,3,3,3,1,1,2,3,4,3,2,2,2,equis,guanajuato,,
2/03/2026 19:54:48,19,femenino,2,2,1,4,2,2,2,3,4,4,4,5,2,3,4,4,4,4,"es una ciudad con buena estabilidad economica pero tambien con mucha delincuencia, ademas por las refinerias existe mucha contaminacion",guanajuato,,
2/03/2026 19:55:33,14,femenino,4,3,4,4,3,3,3,3,4,4,4,3,5,4,3,4,4,4,"no es la mas bonita del estado ni la mas turistica como guanajuato o san miguel de allende, pero tiene algo muy particular, es una ciudad trabajadora. se siente industrial, con movimiento constante, con gente que madruga, que viene por oportunidades y que hace su vida ahi con esfuerzo.",silao,,
2/03/2026 19:57:55,20,femenino,4,5,5,5,5,5,5,5,4,4,2,3,4,3,2,2,2,3,"le falta promocion, no se mucho de ella",otro,,
