ngram,total_frequency,relative_frequency
lugar,72,0.048582995951417
ciudad,62,0.04183535762483131
salamanca,40,0.02699055330634278
inseguridad,28,0.01889338731443995
vivir,18,0.01214574898785425
general,16,0.01079622132253711
visitar,14,0.009446693657219974
malo,14,0.009446693657219974
turistico,14,0.009446693657219974
variedad,14,0.009446693657219974
precio,12,0.008097165991902834
cosa,12,0.008097165991902834
comida,12,0.008097165991902834
bonito,10,0.006747638326585695
gobierno,10,0.006747638326585695
descuidado,10,0.006747638326585695
cultura,10,0.006747638326585695
zona,10,0.006747638326585695
persona,10,0.006747638326585695
centro,10,0.006747638326585695
salir,10,0.006747638326585695
atractivo,10,0.006747638326585695
peligroso,10,0.006747638326585695
transporte,10,0.006747638326585695
gastronomia,8,0.005398110661268556
actividad,8,0.005398110661268556
falta,8,0.005398110661268556
seguridad,8,0.005398110661268556
contaminacion,8,0.005398110661268556
poder,8,0.005398110661268556
refineria,8,0.005398110661268556
ejemplo,8,0.005398110661268556
tanto,8,0.005398110661268556
aspecto,8,0.005398110661268556
inseguro,8,0.005398110661268556
opinion,8,0.005398110661268556
calle,8,0.005398110661268556
sentir,8,0.005398110661268556
ofrecer,8,0.005398110661268556
potencial,6,0.004048582995951417
atraccion,6,0.004048582995951417
gente,6,0.004048582995951417
actualmente,6,0.004048582995951417
vida,6,0.004048582995951417
accesibl,6,0.004048582995951417
ayudar,6,0.004048582995951417
feo,6,0.004048582995951417
ver,6,0.004048582995951417
sucio,6,0.004048582995951417
mayoria,6,0.004048582995951417
familiar,6,0.004048582995951417
amigo,6,0.004048582995951417
tema,6,0.004048582995951417
contaminado,6,0.004048582995951417
restaurante,6,0.004048582995951417
mantenimiento,6,0.004048582995951417
area,6,0.004048582995951417
considerar,6,0.004048582995951417
punto,6,0.004048582995951417
especial,4,0.002699055330634278
querer,4,0.002699055330634278
convertir,4,0.002699055330634278
llevar,4,0.002699055330634278
recreacion,4,0.002699055330634278
conocer,4,0.002699055330634278
municipio,4,0.002699055330634278
guanajuato,4,0.002699055330634278
violencia,4,0.002699055330634278
turista,4,0.002699055330634278
imagen,4,0.002699055330634278
alto,4,0.002699055330634278
quedar,4,0.002699055330634278
delincuencia,4,0.002699055330634278
realmente,4,0.002699055330634278
impresion,4,0.002699055330634278
afuera,4,0.002699055330634278
desconocer,4,0.002699055330634278
tiempo,4,0.002699055330634278
visito,4,0.002699055330634278
universidad,4,0.002699055330634278
pasar,4,0.002699055330634278
mexico,4,0.002699055330634278
foraneo,4,0.002699055330634278
gustar,4,0.002699055330634278
principal,4,0.002699055330634278
venir,4,0.002699055330634278
descuidar,4,0.002699055330634278
aparte,4,0.002699055330634278
pequen,4,0.002699055330634278
trafico,4,0.002699055330634278
lindo,4,0.002699055330634278
bici,4,0.002699055330634278
paisaje,4,0.002699055330634278
agradable,4,0.002699055330634278
plaza,4,0.002699055330634278
verde,4,0.002699055330634278
rancheria,4,0.002699055330634278
alrededor,4,0.002699055330634278
faltar,4,0.002699055330634278
necesitar,4,0.002699055330634278
positivo,4,0.002699055330634278
encontrar,4,0.002699055330634278
feria,4,0.002699055330634278
local,4,0.002699055330634278
inter,4,0.002699055330634278
relativamente,4,0.002699055330634278
comodo,4,0.002699055330634278
unico,4,0.002699055330634278
promedio,4,0.002699055330634278
establecimiento,4,0.002699055330634278
casa,4,0.002699055330634278
interesante,4,0.002699055330634278
publico,4,0.002699055330634278
caminar,4,0.002699055330634278
conductor,4,0.002699055330634278
cruz,4,0.002699055330634278
peatonal,4,0.002699055330634278
conducir,4,0.002699055330634278
escuchar,4,0.002699055330634278
comodidad,4,0.002699055330634278
caro,4,0.002699055330634278
deberio,4,0.002699055330634278
limitar,4,0.002699055330634278
comer,4,0.002699055330634278
cultural,2,0.001349527665317139
pequeno,2,0.001349527665317139
llamativo,2,0.001349527665317139
hostil,2,0.001349527665317139
recomendario,2,0.001349527665317139
dejaria,2,0.001349527665317139
ultima,2,0.001349527665317139
opcion,2,0.001349527665317139
contar,2,0.001349527665317139
facebook,2,0.001349527665317139
hacer,2,0.001349527665317139
crecer,2,0.001349527665317139
salmantino,2,0.001349527665317139
variar,2,0.001349527665317139
amabilidad,2,0.001349527665317139
evitar,2,0.001349527665317139
fantasma,2,0.001349527665317139
tenia,2,0.001349527665317139
perder,2,0.001349527665317139
oportunidad,2,0.001349527665317139
laboral,2,0.001349527665317139
estudiantil,2,0.001349527665317139
decente,2,0.001349527665317139
calidad,2,0.001349527665317139
insegura,2,0.001349527665317139
aventura,2,0.001349527665317139
calir,2,0.001349527665317139
caracterizar,2,0.001349527665317139
resiliente,2,0.001349527665317139
oler,2,0.001349527665317139
opacado,2,0.001349527665317139
constante,2,0.001349527665317139
ola,2,0.001349527665317139
causar,2,0.001349527665317139
habitante,2,0.001349527665317139
industrial,2,0.001349527665317139
ambiental,2,0.001349527665317139
aire,2,0.001349527665317139
nivel,2,0.001349527665317139
lejos,2,0.001349527665317139
poner,2,0.001349527665317139
finta,2,0.001349527665317139
mala,2,0.001349527665317139
experiencia,2,0.001349527665317139
gustariar,2,0.001349527665317139
recomendar,2,0.001349527665317139
vengar,2,0.001349527665317139
estudiar,2,0.001349527665317139
ano,2,0.001349527665317139
estudio,2,0.001349527665317139
compra,2,0.001349527665317139
lamentablemente,2,0.001349527665317139
afectar,2,0.001349527665317139
confianza,2,0.001349527665317139
turistica,2,0.001349527665317139
preguntar,2,0.001349527665317139
encuesta,2,0.001349527665317139
evito,2,0.001349527665317139
asisto,2,0.001349527665317139
concurrido,2,0.001349527665317139
disfrutar,2,0.001349527665317139
rato,2,0.001349527665317139
humo,2,0.001349527665317139
empresa,2,0.001349527665317139
pemex,2,0.001349527665317139
destino,2,0.001349527665317139
valgar,2,0.001349527665317139
pena,2,0.001349527665317139
carino,2,0.001349527665317139
cerca,2,0.001349527665317139
disgustar,2,0.001349527665317139
colocar,2,0.001349527665317139
sede,2,0.001349527665317139
suciedad,2,0.001349527665317139
neutral,2,0.001349527665317139
asentar,2,0.001349527665317139
arbol,2,0.001349527665317139
atencion,2,0.001349527665317139
bache,2,0.001349527665317139
bandalizado,2,0.001349527665317139
adaptar,2,0.001349527665317139
naci,2,0.001349527665317139
jardin,2,0.001349527665317139
calid,2,0.001349527665317139
implementar,2,0.001349527665317139
fuerte,2,0.001349527665317139
cerrar,2,0.001349527665317139
gestion,2,0.001349527665317139
brutalmente,2,0.001349527665317139
abandonado,2,0.001349527665317139
social,2,0.001349527665317139
estancia,2,0.001349527665317139
visita,2,0.001349527665317139
vetir,2,0.001349527665317139
aburrido,2,0.001349527665317139
apto,2,0.001349527665317139
turismo,2,0.001349527665317139
vistas,2,0.001349527665317139
bonitas,2,0.001349527665317139
hiking,2,0.001349527665317139
ruta,2,0.001349527665317139
valor,2,0.001349527665317139
agregado,2,0.001349527665317139
pesimo,2,0.001349527665317139
sistema,2,0.001349527665317139
horario,2,0.001349527665317139
vespertino,2,0.001349527665317139
semana,2,0.001349527665317139
hablar,2,0.001349527665317139
valorar,2,0.001349527665317139
natural,2,0.001349527665317139
increibl,2,0.001349527665317139
privatizado,2,0.001349527665317139
ecoparque,2,0.001349527665317139
seco,2,0.001349527665317139
estanque,2,0.001349527665317139
lastimo,2,0.001349527665317139
interesar,2,0.001349527665317139
cambiar,2,0.001349527665317139
infraestructura,2,0.001349527665317139
viejo,2,0.001349527665317139
caer,2,0.001349527665317139
pedazos,2,0.001349527665317139
galeria,2,0.001349527665317139
principalmente,2,0.001349527665317139
sur,2,0.001349527665317139
pavimento,2,0.001349527665317139
incluir,2,0.001349527665317139
pertenecer,2,0.001349527665317139
elevado,2,0.001349527665317139
ganar,2,0.001349527665317139
sueldo,2,0.001349527665317139
petrolero,2,0.001349527665317139
noche,2,0.001349527665317139
empezar,2,0.001349527665317139
invertir,2,0.001349527665317139
ocurrir,2,0.001349527665317139
basico,2,0.001349527665317139
limpieza,2,0.001349527665317139
riego,2,0.001349527665317139
ultimamente,2,0.001349527665317139
